#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
           4125.3806           0.8905361                       |         7.26702547e+14      5.05543893e-15                    
           4129.4282           0.9040186                       |         7.25990245e+14      5.14205243e-15                    
           4133.4758           0.9282454                       |         7.25279338e+14      5.29020985e-15                    
           4137.5234           0.9150226                       |         7.24569821e+14      5.22506915e-15                    
           4141.5709           0.9305519                       |         7.23861709e+14      5.32414772e-15                    
           4145.6185           0.8846722                       |         7.23154962e+14      5.07154570e-15                    
           4149.6661            0.893955                       |         7.22449594e+14      5.13477312e-15                    
           4153.7137            0.925729                       |         7.21745601e+14      5.32765732e-15                    
           4157.7612           0.9311974                       |         7.21042995e+14      5.36957774e-15                    
           4161.8088            0.907704                       |         7.20341739e+14      5.24430321e-15                    
           4165.8564           0.8999938                       |         7.19641846e+14      5.20987621e-15                    
            4169.904           0.8874836                       |         7.18943311e+14      5.14744536e-15                    
           4173.9515           0.9219356                       |         7.18246149e+14      5.35765418e-15                    
           4177.9991           0.8986471                       |         7.17550320e+14      5.23245084e-15                    
           4182.0467           0.8926579                       |         7.16855838e+14      5.20765380e-15                    
           4186.0943           0.9050277                       |         7.16162698e+14      5.29004276e-15                    
           4190.1418           0.9069118                       |         7.15470916e+14      5.31131170e-15                    
           4194.1894           0.9072589                       |         7.14780451e+14      5.32361462e-15                    
            4198.237           0.9057055                       |         7.14091317e+14      5.32476204e-15                    
           4202.2846           0.8747848                       |         7.13403512e+14      5.15289683e-15                    
           4206.3321           0.9204855                       |         7.12717046e+14      5.43254539e-15                    
           4210.3797           0.9184208                       |         7.12031884e+14      5.43079654e-15                    
           4214.4273           0.9312211                       |         7.11348038e+14      5.51707943e-15                    
           4218.4749           0.9279119                       |         7.10665504e+14      5.50803865e-15                    
           4222.5224           0.9099636                       |         7.09984295e+14      5.41186856e-15                    
             4226.57           0.8908802                       |         7.09304374e+14      5.30853561e-15                    
           4230.6176           0.8881021                       |         7.08625755e+14      5.30212224e-15                    
           4234.6652           0.9273648                       |         7.07948432e+14      5.54712641e-15                    
           4238.7127           0.9046559                       |         7.07272420e+14      5.42164001e-15                    
