#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
           6570.1157             1.83851                       |         4.56297077e+14      2.64722787e-14                    
           6574.1632            1.609031                       |         4.56016150e+14      2.31966179e-14                    
           6578.2108            1.461899                       |         4.55735561e+14      2.11014470e-14                    
           6582.2584            1.391576                       |         4.55455318e+14      2.01111118e-14                    
            6586.306            1.369269                       |         4.55175419e+14      1.98130748e-14                    
           6590.3535            1.303885                       |         4.54895870e+14      1.88901761e-14                    
           6594.4011            1.165466                       |         4.54616658e+14      1.69055624e-14                    
           6598.4487           0.9973241                       |         4.54337789e+14      1.44843596e-14                    
           6602.4962           0.9287114                       |         4.54059268e+14      1.35044342e-14                    
           6606.5438           0.9582874                       |         4.53781081e+14      1.39515902e-14                    
           6610.5914           0.9654526                       |         4.53503236e+14      1.40731359e-14                    
            6614.639            0.957646                       |         4.53225730e+14      1.39764408e-14                    
           6618.6865            0.960505                       |         4.52948571e+14      1.40353274e-14                    
           6622.7341           0.9634197                       |         4.52671743e+14      1.40951420e-14                    
           6626.7817           0.9679137                       |         4.52395254e+14      1.41782053e-14                    
           6630.8293           0.9579563                       |         4.52119102e+14      1.40494942e-14                    
           6634.8768           0.9263576                       |         4.51843294e+14      1.36026552e-14                    
           6638.9244           0.9400696                       |         4.51567816e+14      1.38208499e-14                    
            6642.972           0.9743198                       |         4.51292673e+14      1.43418662e-14                    
           6647.0196            0.951147                       |         4.51017865e+14      1.40178322e-14                    
           6651.0671           0.9801676                       |         4.50743399e+14      1.44631302e-14                    
           6655.1147           0.9786554                       |         4.50469259e+14      1.44583982e-14                    
           6659.1623           0.9642527                       |         4.50195453e+14      1.42629500e-14                    
           6663.2099           0.9521269                       |         4.49921980e+14      1.41007145e-14                    
           6667.2574           0.9788947                       |         4.49648845e+14      1.45147552e-14                    
            6671.305           0.9678253                       |         4.49376035e+14      1.43680509e-14                    
           6675.3526           0.9459311                       |         4.49103556e+14      1.40600615e-14                    
           6679.4002           0.9735537                       |         4.48831407e+14      1.44881902e-14                    
           6683.4477           0.9669538                       |         4.48559594e+14      1.44074171e-14                    
           6687.4953           0.9388598                       |         4.48288104e+14      1.40057709e-14                    
           6691.5429           0.9518252                       |         4.48016942e+14      1.42163801e-14                    
           6695.5905           0.9573944                       |         4.47746108e+14      1.43168656e-14                    
            6699.638           0.9661635                       |         4.47475608e+14      1.44654716e-14                    
           6703.6856             1.01329                       |         4.47205428e+14      1.51893898e-14                    
           6707.7332            1.110663                       |         4.46935574e+14      1.66691387e-14                    
           6711.7808            1.123818                       |         4.46666046e+14      1.68869341e-14                    
           6715.8283            1.168203                       |         4.46396849e+14      1.75750586e-14                    
           6719.8759            1.218868                       |         4.46127969e+14      1.83593997e-14                    
           6723.9235            1.164387                       |         4.45859414e+14      1.75599054e-14                    
           6727.9711            1.113834                       |         4.45591181e+14      1.68177542e-14                    
           6732.0186            1.086373                       |         4.45323278e+14      1.64228631e-14                    
           6736.0662            1.070801                       |         4.45055690e+14      1.62069300e-14                    
           6740.1138            1.034533                       |         4.44788423e+14      1.56768247e-14                    
           6744.1614           0.9527777                       |         4.44521477e+14      1.44552894e-14                    
           6748.2089           0.9134929                       |         4.44254859e+14      1.38759111e-14                    
           6752.2565           0.9405322                       |         4.43988553e+14      1.43037802e-14                    
           6756.3041            0.952248                       |         4.43722566e+14      1.44993236e-14                    
           6760.3517           0.9148269                       |         4.43456897e+14      1.39462293e-14                    
           6764.3992           0.9539955                       |         4.43191554e+14      1.45607612e-14                    
           6768.4468           0.9247388                       |         4.42926520e+14      1.41311145e-14                    
           6772.4944           0.9391798                       |         4.42661804e+14      1.43689604e-14                    
            6776.542           0.9589193                       |         4.42397404e+14      1.46885060e-14                    
           6780.5895           0.9655163                       |         4.42133326e+14      1.48072296e-14                    
           6784.6371           0.9489734                       |         4.41869557e+14      1.45709068e-14                    
           6788.6847            0.936853                       |         4.41606102e+14      1.44019741e-14                    
           6792.7323           0.9558868                       |         4.41342962e+14      1.47121031e-14                    
           6796.7798           0.9547236                       |         4.41080141e+14      1.47117167e-14                    
           6800.8274            0.886317                       |         4.40817626e+14      1.36738837e-14                    
            6804.875           0.8388697                       |         4.40555424e+14      1.29572879e-14                    
           6808.9225           0.9229136                       |         4.40293540e+14      1.42724038e-14                    
           6812.9701           0.9449338                       |         4.40031961e+14      1.46303139e-14                    
           6817.0177           0.8514227                       |         4.39770692e+14      1.31981592e-14                    
           6821.0653            0.805034                       |         4.39509733e+14      1.24938973e-14                    
           6825.1128           0.8547453                       |         4.39249091e+14      1.32811501e-14                    
           6829.1604           0.7860429                       |         4.38988750e+14      1.22281335e-14                    
            6833.208           0.7519764                       |         4.38728719e+14      1.17120465e-14                    
           6837.2556           0.7885566                       |         4.38468995e+14      1.22963382e-14                    
           6841.3031           0.7902354                       |         4.38209585e+14      1.23371101e-14                    
           6845.3507           0.8191221                       |         4.37950475e+14      1.28032240e-14                    
           6849.3983           0.8375414                       |         4.37691671e+14      1.31066114e-14                    
           6853.4459           0.8322424                       |         4.37433174e+14      1.30390848e-14                    
           6857.4934           0.8394198                       |         4.37174987e+14      1.31670748e-14                    
            6861.541           0.8561653                       |         4.36917099e+14      1.34456017e-14                    
           6865.5886           0.8650446                       |         4.36659515e+14      1.36010785e-14                    
           6869.6362            0.892166                       |         4.36402235e+14      1.40440524e-14                    
           6873.6837           0.9108612                       |         4.36145264e+14      1.43552442e-14                    
           6877.7313           0.8789366                       |         4.35888589e+14      1.38684286e-14                    
           6881.7789           0.8329833                       |         4.35632216e+14      1.31588223e-14                    
           6885.8265           0.8826938                       |         4.35376144e+14      1.39605177e-14                    
            6889.874           0.8947225                       |         4.35120380e+14      1.41674019e-14                    
           6893.9216            0.856066                       |         4.34864909e+14      1.35712304e-14                    
           6897.9692           0.8757554                       |         4.34609738e+14      1.38996742e-14                    
           6902.0168           0.9077122                       |         4.34354867e+14      1.44237934e-14                    
           6906.0643            0.881772                       |         4.34100301e+14      1.40280348e-14                    
           6910.1119            0.903856                       |         4.33846026e+14      1.43962275e-14                    
           6914.1595           0.9095376                       |         4.33592050e+14      1.45036978e-14                    
           6918.2071           0.8797638                       |         4.33338370e+14      1.40453479e-14                    
           6922.2546           0.8957576                       |         4.33084994e+14      1.43174256e-14                    
           6926.3022           0.9377408                       |         4.32831907e+14      1.50060013e-14                    
           6930.3498           0.9024107                       |         4.32579116e+14      1.44575214e-14                    
           6934.3974           0.9319793                       |         4.32326620e+14      1.49486859e-14                    
           6938.4449           0.9362563                       |         4.32074425e+14      1.50348236e-14                    
           6942.4925           0.8676946                       |         4.31822518e+14      1.39500906e-14                    
           6946.5401           0.8710902                       |         4.31570904e+14      1.40210171e-14                    
           6950.5877           0.9037538                       |         4.31319583e+14      1.45637256e-14                    
           6954.6352           0.9272243                       |         4.31068561e+14      1.49593530e-14                    
           6958.6828           0.9239222                       |         4.30817825e+14      1.49234343e-14                    
           6962.7304           0.8976705                       |         4.30567381e+14      1.45162824e-14                    
            6966.778           0.8722679                       |         4.30317227e+14      1.41218999e-14                    
           6970.8255           0.8832023                       |         4.30067370e+14      1.43155458e-14                    
           6974.8731           0.9117315                       |         4.29817797e+14      1.47951331e-14                    
           6978.9207            0.910669                       |         4.29568513e+14      1.47950479e-14                    
           6982.9683           0.9132922                       |         4.29319519e+14      1.48548813e-14                    
           6987.0158           0.8919914                       |         4.29070819e+14      1.45252432e-14                    
           6991.0634           0.8726321                       |         4.28822401e+14      1.42264637e-14                    
            6995.111           0.9097171                       |         4.28574270e+14      1.48482364e-14                    
           6999.1586           0.9435059                       |         4.28326426e+14      1.54175578e-14                    
           7003.2061           0.9148351                       |         4.28078875e+14      1.49663511e-14                    
           7007.2537            0.925321                       |         4.27831604e+14      1.51553998e-14                    
           7011.3013           0.9216593                       |         4.27584618e+14      1.51128707e-14                    
           7015.3488           0.8981584                       |         4.27337924e+14      1.47445244e-14                    
           7019.3964           0.9323329                       |         4.27091507e+14      1.53232131e-14                    
            7023.444           0.9167036                       |         4.26845375e+14      1.50837206e-14                    
           7027.4916           0.9335047                       |         4.26599527e+14      1.53778803e-14                    
           7031.5391           0.9454081                       |         4.26353967e+14      1.55919131e-14                    
           7035.5867           0.9243873                       |         4.26108684e+14      1.52627891e-14                    
           7039.6343           0.9185612                       |         4.25863683e+14      1.51840488e-14                    
           7043.6819           0.9329594                       |         4.25618964e+14      1.54397943e-14                    
           7047.7294           0.9199474                       |         4.25374531e+14      1.52419571e-14                    
            7051.777           0.9210616                       |         4.25130374e+14      1.52779510e-14                    
           7055.8246           0.9106439                       |         4.24886496e+14      1.51224943e-14                    
           7059.8722           0.8869215                       |         4.24642898e+14      1.47454543e-14                    
           7063.9197           0.9190322                       |         4.24399585e+14      1.52968332e-14                    
           7067.9673           0.8815035                       |         4.24156545e+14      1.46890057e-14                    
           7072.0149           0.8802955                       |         4.23913783e+14      1.46856817e-14                    
           7076.0625           0.8900263                       |         4.23671299e+14      1.48650186e-14                    
             7080.11           0.8814316                       |         4.23429098e+14      1.47383180e-14                    
           7084.1576           0.9026211                       |         4.23187168e+14      1.51098866e-14                    
           7088.2052           0.9009367                       |         4.22945514e+14      1.50989288e-14                    
           7092.2528           0.8568562                       |         4.22704136e+14      1.43765823e-14                    
           7096.3003           0.8382498                       |         4.22463039e+14      1.40804562e-14                    
           7100.3479             0.83872                       |         4.22222211e+14      1.41044304e-14                    
           7104.3955           0.8576704                       |         4.21981658e+14      1.44395606e-14                    
           7108.4431           0.8588761                       |         4.21741378e+14      1.44763407e-14                    
           7112.4906           0.8140688                       |         4.21501378e+14      1.37367444e-14                    
           7116.5382           0.7996074                       |         4.21261645e+14      1.35080814e-14                    
           7120.5858           0.8044411                       |         4.21022185e+14      1.36052020e-14                    
           7124.6334           0.8000511                       |         4.20782996e+14      1.35463430e-14                    
           7128.6809           0.7465861                       |         4.20544086e+14      1.26554486e-14                    
           7132.7285           0.7146888                       |         4.20305440e+14      1.21285158e-14                    
           7136.7761           0.7311263                       |         4.20067065e+14      1.24215516e-14                    
           7140.8237           0.7370745                       |         4.19828960e+14      1.25368175e-14                    
           7144.8712           0.7100487                       |         4.19591131e+14      1.20908335e-14                    
           7148.9188           0.7072362                       |         4.19353566e+14      1.20565904e-14                    
           7152.9664           0.7323444                       |         4.19116269e+14      1.24987629e-14                    
            7157.014           0.7491878                       |         4.18879241e+14      1.28007002e-14                    
           7161.0615           0.7786033                       |         4.18642486e+14      1.33183475e-14                    
           7165.1091           0.8072946                       |         4.18405993e+14      1.38247396e-14                    
           7169.1567           0.8052682                       |         4.18169767e+14      1.38056224e-14                    
           7173.2043           0.8054637                       |         4.17933808e+14      1.38245712e-14                    
           7177.2518           0.7992845                       |         4.17698121e+14      1.37340003e-14                    
           7181.2994           0.7759501                       |         4.17462693e+14      1.33480909e-14                    
            7185.347           0.8064048                       |         4.17227531e+14      1.38876222e-14                    
           7189.3946           0.8517276                       |         4.16992634e+14      1.46846858e-14                    
           7193.4421           0.8228359                       |         4.16758007e+14      1.42025403e-14                    
           7197.4897            0.815338                       |         4.16523637e+14      1.40889648e-14                    
           7201.5373           0.8261688                       |         4.16289532e+14      1.42921812e-14                    
           7205.5849             0.81706                       |         4.16055689e+14      1.41504980e-14                    
           7209.6324           0.8207142                       |         4.15822115e+14      1.42297571e-14                    
             7213.68           0.8231707                       |         4.15588797e+14      1.42883785e-14                    
           7217.7276           0.8257445                       |         4.15355740e+14      1.43491429e-14                    
           7221.7752           0.8283886                       |         4.15122945e+14      1.44112397e-14                    
           7225.8227           0.8835835                       |         4.14890417e+14      1.53886845e-14                    
           7229.8703           0.8556566                       |         4.14658143e+14      1.49190034e-14                    
           7233.9179           0.8695824                       |         4.14426129e+14      1.51787912e-14                    
           7237.9654           0.8265069                       |         4.14194380e+14      1.44430457e-14                    
            7242.013           0.7692616                       |         4.13962884e+14      1.34577343e-14                    
           7246.0606           0.7502857                       |         4.13731648e+14      1.31404394e-14                    
           7250.1082           0.7650093                       |         4.13500669e+14      1.34132799e-14                    
           7254.1557           0.7975246                       |         4.13269954e+14      1.39990037e-14                    
           7258.2033           0.8421881                       |         4.13039490e+14      1.47994867e-14                    
           7262.2509           0.8505634                       |         4.12809283e+14      1.49633380e-14                    
           7266.2985           0.8438027                       |         4.12579333e+14      1.48609535e-14                    
            7270.346           0.8338975                       |         4.12349645e+14      1.47028703e-14                    
           7274.3936           0.8286664                       |         4.12120206e+14      1.46269110e-14                    
           7278.4412           0.7805076                       |         4.11891023e+14      1.37921886e-14                    
           7282.4888           0.8444999                       |         4.11662094e+14      1.49395855e-14                    
           7286.5363           0.9079924                       |         4.11433426e+14      1.60806565e-14                    
           7290.5839           0.8918293                       |         4.11205005e+14      1.58119582e-14                    
           7294.6315           0.8789511                       |         4.10976838e+14      1.56009385e-14                    
           7298.6791           0.8864993                       |         4.10748924e+14      1.57523819e-14                    
           7302.7266           0.8656985                       |         4.10521269e+14      1.53998342e-14                    
           7306.7742           0.8528883                       |         4.10293860e+14      1.51887777e-14                    
           7310.8218           0.8422363                       |         4.10066703e+14      1.50157022e-14                    
           7314.8694           0.9301546                       |         4.09839797e+14      1.66015098e-14                    
           7318.9169           0.9730444                       |         4.09613148e+14      1.73862366e-14                    
           7322.9645           0.9061893                       |         4.09386744e+14      1.62095920e-14                    
           7327.0121           0.8644018                       |         4.09160589e+14      1.54792094e-14                    
           7331.0597           0.8641932                       |         4.08934685e+14      1.54925766e-14                    
           7335.1072            0.860323                       |         4.08709036e+14      1.54402298e-14                    
           7339.1548           0.8701383                       |         4.08483629e+14      1.56336245e-14                    
           7343.2024           0.8685451                       |         4.08258472e+14      1.56222171e-14                    
             7347.25            0.883117                       |         4.08033562e+14      1.59018325e-14                    
           7351.2975           0.8816001                       |         4.07808906e+14      1.58920134e-14                    
           7355.3451           0.8572435                       |         4.07584491e+14      1.54699747e-14                    
           7359.3927           0.8654819                       |         4.07360323e+14      1.56358408e-14                    
           7363.4403           0.8943988                       |         4.07136402e+14      1.61760337e-14                    
           7367.4878           0.8640524                       |         4.06912732e+14      1.56443753e-14                    
           7371.5354           0.8332918                       |         4.06689302e+14      1.51040117e-14                    
            7375.583            0.874864                       |         4.06466118e+14      1.58749568e-14                    
           7379.6306           0.9126871                       |         4.06243178e+14      1.65794628e-14                    
           7383.6781           0.9297687                       |         4.06020489e+14      1.69082915e-14                    
           7387.7257           0.9137657                       |         4.05798037e+14      1.66354928e-14                    
           7391.7733           0.8831403                       |         4.05575830e+14      1.60955669e-14                    
           7395.8209           0.8407663                       |         4.05353865e+14      1.53400707e-14                    
           7399.8684           0.8376061                       |         4.05132149e+14      1.52991436e-14                    
            7403.916           0.9064511                       |         4.04910670e+14      1.65747368e-14                    
           7407.9636            0.902999                       |         4.04689433e+14      1.65296723e-14                    
           7412.0112           0.9483463                       |         4.04468438e+14      1.73787439e-14                    
           7416.0587           0.9541378                       |         4.04247689e+14      1.75039762e-14                    
           7420.1063           0.9221858                       |         4.04027175e+14      1.69362783e-14                    
           7424.1539           0.9077929                       |         4.03806902e+14      1.66901411e-14                    
           7428.2015           0.8775641                       |         4.03586870e+14      1.61519699e-14                    
            7432.249           0.8458257                       |         4.03367082e+14      1.55847800e-14                    
           7436.2966           0.7933182                       |         4.03147528e+14      1.46332274e-14                    
           7440.3442           0.7706737                       |         4.02928213e+14      1.42310154e-14                    
           7444.3917           0.7459881                       |         4.02709141e+14      1.37901702e-14                    
           7448.4393           0.6548918                       |         4.02490303e+14      1.21193524e-14                    
